序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppm)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","風速 WIND_SPEED (m/sec)","小時風速值 WS_HR (m/sec)","溫度 AMB_TEMP (℃)","降雨強度 RAIN_INT (㎜)","酸雨 PH_RAIN (pH)","相對濕度 RH (percent)","導電度 RAIN_COND (μmho/cm)"
1,臺北市,2015/12/31,松山,3.2,0.5,-,34.1,69,37,24.12,3.11,21.01,1.955,0.12,1.835,2.01,1.59,16.0,-,-,73.21,-
2,臺北市,2015/12/31,古亭,3.7,0.5,-,34.8,79,30,22.07,3.16,18.91,2.039,0.117,1.922,2.83,2.59,16.07,-,-,78.57,-
3,臺北市,2015/12/31,中山,2.7,0.69,-,29.9,73,44,32.51,6.18,26.32,2.051,0.179,1.872,2.44,2.02,16.93,-,-,75.43,-
4,臺北市,2015/12/31,大同,3.6,1.04,-,-,84,32,62.93,30.02,32.91,2.31,0.308,2.002,-,-,-,-,-,-,-
5,臺北市,2015/12/31,萬華,3.5,0.56,-,32.0,69,37,29.8,4.45,25.35,-,-,-,3.1,2.78,17.26,-,-,70.71,-
6,臺北市,2015/12/31,陽明,2.6,0.35,417.47,52.3,40,32,4.75,0.84,3.9,-,-,-,-,-,8.55,0.55,4.37,99.24,80.52
7,臺北市,2015/12/31,士林,3.0,0.41,-,46.3,61,33,10.6,0.72,9.89,-,-,-,2.56,2.18,16.71,-,-,67.41,-
8,臺北市,2015/12/30,松山,2.3,0.35,418.1,23.3,24,10,25.71,4.52,21.19,1.886,0.099,1.787,1.68,1.24,15.64,-,-,87.53,-
9,臺北市,2015/12/30,古亭,2.4,0.36,-,25.8,31,8,22.23,4.09,18.14,2.012,0.122,1.891,2.61,2.37,15.83,-,-,92.52,-
10,臺北市,2015/12/30,中山,1.7,0.54,-,21.0,22,9,34.63,9.29,25.35,1.994,0.167,1.827,2.3,2.13,16.83,-,-,87.52,-
11,臺北市,2015/12/30,大同,3.2,1.29,-,-,45,10,85.97,53.24,32.73,2.415,0.434,1.982,-,-,-,-,-,-,-
12,臺北市,2015/12/30,萬華,2.3,0.4,-,23.3,22,9,28.88,5.83,23.05,-,-,-,2.7,2.54,17.06,-,-,83.87,-
13,臺北市,2015/12/30,陽明,1.0,0.17,411.03,45.3,5,2,2.15,0.77,1.38,-,-,-,-,-,9.81,0.77,5.16,100.0,66.16
14,臺北市,2015/12/30,士林,1.4,0.27,-,35.3,17,7,10.95,0.7,10.24,-,-,-,2.12,1.69,16.89,-,-,75.68,-
15,臺北市,2015/12/29,松山,2.1,0.36,422.68,28.5,52,21,24.28,4.24,20.03,1.91,0.11,1.8,1.81,1.44,17.27,-,-,64.25,-
